name,space,neighbourhood_cleansed,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,amenities,square_feet,price,cleaning_fee,minimum_nights,maximum_nights,reviews_per_month,host_acceptance_rate
Perfect for Your Parents + Garden,"Are your parents coming to town? They'll love this space -- high-end Victorian townhouse. Very spacious and clean. We are on premises, and happy to help but won't disturb. There's no oven or cooktop or oven, but microwave, refrigerator/freezer, sink, cutlery/dishes, coffeepot and teapot as well as coffee and tea, sugar (no food, though). You can use main kitchen upstairs if you really want to cook. King-size bed as well as queen-size sofa bed, bathroom with shower but no tub. This is an open-space design. No door to bedroom. Private entrance to unit. Huge private garden. Hi-definition 48-inch TV w/ cable.  Unit is not particularly sunny. No stairs to negotiate here (two steps down into space).",Fort Greene,40.69121,-73.97277,Apartment,Entire home/apt,1,1,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Self check-in"",""Building staff"",""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Shower gel""}",,$199.00,$30.00,1,30,1.8,100%
Large Furnished Room Near B'way,"You will use one large, furnished, private room of a two-bedroom apartment and share a bathroom with the host.   The apartment is located a few blocks away from Central Park between 8th and 9th Avenue. The closest subway station is Columbus Circle 59th Street.  Great restaurants, Broadway and all transportation are easily accessible.  The cost of the room is $79 per night.  Weekly rate is available. There is a $12.00 fee per guest.  The apartment also features hardwood floors and a second-floor walk-up.  There is a full-sized bed,TV, microwave, and a small refrigerator as well as other appliances.   Wired internet, WIFI, TV, electric heat, bed sheets and towels are included.  A kitchen is available in the living room. You can come in any time except midnight.   Basic check in/out time is 12pm. I am flexible on the schedule so please ask.  Please nore that the living room is a private place for the host. Also, because the place is close to the street, there is some traffic noise from ou",Hell's Kitchen,40.76489,-73.98493,Apartment,Private room,1,1,1,"{TV,Wifi,""Air conditioning"",""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Luggage dropoff allowed""}",,$79.00,$15.00,2,14,3.56,100%
Huge 2 BR Upper East  Cental Park,"Large Furnished 2BR one block  to Central Park - sleeps 4  (not a share, you will have the whole 2 bed room apartment) Available Starting July1st 2014 Located on 109th St East Side. Just half a block to Central park. off of 5th ave. Close to both the 6 and 2/3 subway. Only 15 mins sunway ride to Time square.  The apartment large. 2 bed room. will full size kitchen and bath.  One bed with queens size bed and the other with a full size bed. large real kitchen with stove and dishwasher . a nice size bathroom with big bath tub.  The rate is $190 per night. 7 nights min please. plus $120 one time cleaning fee.  There is a $300 refundable deposit needed at check in time Please tell me a little about what bring you to the big apple and how many people will be staying.  ",East Harlem,40.79685,-73.94872,Apartment,Entire home/apt,1,2,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Elevator,Heating}",750,$190.00,,7,365,,20%
Sweet and Spacious Brooklyn Loft,"The apartment is an open-plan (Phone number hidden by Airbnb) sq. ft. loft (140 sq m) with 5 large windows providing bright sunlight all day, located in an old factory building with many of the original finishes including tin ceilings, wooden beams and columns, and white brick walls. Very few of these original factory loft buildings remain in the neighborhood, and this space is quite special. Located in the very center of Williamsburg: just two blocks from the Bedford L train and two blocks from McCarren park! Stellar restaurants, bars, nightlife, and shopping are all steps away. Manhattan is just a 5-10 minute ride on the L train. The loft has a fully stocked kitchen with fridge, oven, microwave, dishwasher, and everything you might need for cooking: great knives, pots and pans, a wide range of spices, kitchen tools, and a beautiful dining table.  There is a large bathroom, a custom cedar sauna for 5 (built by yours truly), a washer/dryer, and air conditioning.  For your entertainment",Williamsburg,40.71842,-73.95718,Loft,Entire home/apt,1,,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials}",,$299.00,$120.00,3,90,0.07,0%
Spacious river view in the West Village,"(The cats in the photos have moved on to a fluffier abode in the sky - there are no feline residents in the apartment.)  Please forgive me (!), but I don't usually feel comfortable with 20-somethings.  This is my precious home and I need reassurance that my guests are detail-oriented and conscientious. If you inquire, please share a bit about yourself -- thank you! Spacious, bright, 900-sqare-foot riverview apartment in the quiet, historic West Village (tree-lined streets, brownstones) steps from shops, restaurants, and many other great NYC neighborhoods. Adjacent to the trendy Meat Packing District, and easily walkable to Chelsea, Soho, Tribeca, the East Village, and more. Farmer's Market on Saturday's 2 blocks from apartment. Short subway ride to the Theater District, Upper West Side, Central Park, and even Brooklyn! Across the Street from Hudson River Park - you can picnic or walk/bike/jog up and down the River for miles.  There is a large living room, a separate large bedroom/offic",West Village,40.73552,-74.01042,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Cat(s),Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,Waterfront}",,$160.00,$80.00,3,21,0.51,20%
BlissArtsSpace!,"HELLO EVERYONE AND THANKS FOR VISITING BLISS ART SPACE!  Thank you all for your support. I've traveled a lot in the last year few years, to the  U.K. Germany, Italy and France! Loved Paris, Berlin and Calabria! Highly recommend all these places.  One room available for rent in a 2 bedroom apt in Bklyn. We share a common space with kitchen. I am an artist(painter, filmmaker) and curator who is working in the film industry while I'm building my art event production businesses. Price above is nightly for one person. Monthly rates available.  Price is $900 per month for one person. Utilities not included, they are about 50 bucks, payable when the bill arrives mid month.   Couples rates are slightly more for monthly and 90$ per night short term. If you are a couple please Iet me know and I’ll give you the monthly rate for that. Room rental is on a temporary basis, perfect from 2- 6 months - no long term requests please! At the moment I AM ONLY TAKING BOOKINGS OF AT LEAST ONE OR ONE AND A HA",Bedford-Stuyvesant,40.68688,-73.95596,Apartment,Private room,,1,1,"{Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),Heating}",,$60.00,$0.00,29,730,0.38,67%
Hip Historic Brownstone Apartment with Backyard,"You have your own floor with private entrance, kitchen and bathroom. The laundry room and backyard are shared spaces.  Guests are not allowed in the cellar or upstairs.",Crown Heights,40.67592,-73.94694,Townhouse,Entire home/apt,1,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Children’s books and toys"",Crib,""Pack ’n Play/travel crib"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",,$99.00,$70.00,3,730,4.25,100%
Super Room in Great area.,"First, the area is PERFECT if you want to visit NYC: I'm central: Walk 3 blocks up you're in East Village  3 Blocks down you're in Chinatown  2 Blocks west you're in Nolita  7 min you're in So Ho  Then (maybe first) comes the room: it's a very clean, bright, sunny and nice room: all the outside wall is made with window. It's furnished with a Queen bed, closet and towels, blankets, etc...  You'll not be disappointed, for sure!  There's heater, AC, heater, internet connection, dishwasher in the kitchen,elevator, laundry in the basement, and access to the rooftop all the time, with a super nice view on Williamsburg and Manhattan Bridge.  It's a 4 years old building so everything is fresh and in good condition. It's a 2 BD apt, you'll share the with apt with me: I'm clean, cool and laid back ans work on office hours.  The building is located at the border Lower East Side and Nolita. It makes it the best spot to visit NY!  So you have choice of tonnes of good restaurants, brunch, lounges, a",Lower East Side,40.7191,-73.9904,Apartment,Private room,,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer}",,$94.00,,1,730,0.56,N/A
Large Cozy 1 BR Apartment In Midtown East,"I have a large 1 bedroom apartment centrally located in Midtown East.  A 10 minute walk from Grand Central Station, Times Square, Empire State Building and all major subway and bus lines. The apartment is located on the 5th floor of a pre-war walk up building-no elevator/lift.  The apartment is bright with has high ceilings and flow through rooms. A spacious, cozy living room with Netflix and Apple TV.  A large bright kitchen to sit and enjoy coffee or tea.  The bedroom is spacious with a comfortable queen size bed that sleeps 2.   I have a comfortable queen size aero bed that fits in the living room and sleeps 2. It can be tucked away for living space and opened when ready for bed. I'd be happy to give you tips and advice on the best ways to experience the most of  NYC. The apartment's location is great for sightseeing. ** Check out my listing guidebook **   If you would like to stay local in the area, there is a very long & famous strip of bars and restaurants along 3rd Avenue, which",Murray Hill,40.74767,-73.975,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Host greets you""}",,$200.00,$125.00,3,21,0.59,71%
"Lovely Room 1, Garden, Best Area, Legal rental","Welcome to an historic, stunning 4-story Brooklyn house, in super safe, quiet and friendly Park Slope.   140 year old house filled with light, color, artwork.  Large beautiful garden and patio.  Legal rental.   Three excellent SUBWAY LINES (R, F, G)   2 minutes walk, 20 mins to Manhattan.  Please write to me with your details;   Wait til I reply ""yes"" before requesting room. Discounts available for longer stay. Historic house with charming details, not ""modern"";  some quirks like creaky stairs.  Perfect for casual, flexible, busy travelers.  The main floor is my office; I  work here.   Help yourself to yummy breakfast foods and enjoy the lovely patio and garden!    Upstairs:   2  cozy rooms,  medium size,  closets.   1 room --   King bed, excellent mattress ,  or can be made 2 twins.  1 room --  Queen,  excellent mattress - Air conditioning & Fans; - Good WiFi ;   sorry, no TV; - Large garden, patio - Lovely  towels & linens, hairdryer, soaps, lotions, sun block, iron; everything! - I ",South Slope,40.66829,-73.98779,Townhouse,Private room,1.5,1,0,"{Internet,Wifi,""Air conditioning"",""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Coffee maker"",""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed""}",,$89.00,$67.00,4,14,1.35,99%
CBG Helps Haiti Rm #2,"* Owner occupied  brownstone with garden - homeowner (Lisel) is  active  in local/ global partnerships with the organized poor; guest cooking and food storage welcome;  * CTY Donations: 30% of guest fees go to Haitian or local projects.  CBG Partner network and  (SENSITIVE CONTENTS HIDDEN) followup are options.  * Guests are invited into an informal brownstone household, with garden and kitchen cooking access. WEB:(URL HIDDEN)    * Fifth Avenue Cafes, Brooklyn BAM performances, Prospect Park,  and subways to Manhattan close by.  CEREMONY GUESTS: SLEEPS UP TO 10; Four guest rooms also possible for special event rentals on an as available basis;",Park Slope,40.6796,-73.97745,House,Private room,2.5,4,8,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Babysitter recommendations"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,$32.00,$10.00,2,730,0.63,86%
Modern 1 BR / NYC / EAST VILLAGE,"The east village offers a mixture of old school cool NY flavor and new school sophistication. Fun and unique boutiques and cafes line the streets. For some urban nature, Thompkins Square Park is just 1 block east. Although the neighborhood is lively and fun, the apartment is nice and quiet at night. As a designer in the interior/home field, I bring a unique element of style to my home. If you are interested in a classic, cool downtown experience in comfortable spot, this is for you!!!",East Village,40.7292,-73.98542,Apartment,Entire home/apt,1,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Shower gel"",""Baking sheet"",""Trash can""}",,$175.00,$100.00,3,75,0.26,87%
front room/double bed,"_________________________________________________ F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q. F.A.Q.  FREQUENTLY ASKED QUESTIONS -------------------------------------------------------------------------------------- Hi, are xx-xx dates available? check the calendar, if there's availability, feel free to make a booking, i've had many times other guests book the dates someone is looking for because they are writing to ask me if the days they want are available.  --------------- Where are you located?? check the tab on this listing that says ""location"", that will show you where i live, and where you will be located in relation to wherever you would like to visit. --------------- How far away are you from X? times square- 15 minutes central park 10-20min(depends where, it's big) midtown west 15 minutes midtown east 20-25 minutes union square 25 minutes   east village 30 minutes downtown 30-35 minutes again, look at the ""location"" tab/link on this listing. do you know the address? i ha",Harlem,40.82245,-73.95104,Apartment,Private room,1,1,1,"{Internet,Wifi,Pool,Kitchen,""Paid parking off premises"",""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",,$50.00,$15.00,3,365,2.04,100%
